BEFORE TRAINING:
x: -0.841249	 y: 0.80068	 guess: 1	 wrong guess
x: 0.33853	 y: 0.572246	 guess: 1	 wrong guess
x: -0.208751	 y: 0.236824	 guess: 1	 wrong guess
x: -0.388245	 y: -0.000533164	 guess: 1	 wrong guess
x: 0.617351	 y: -0.945446	 guess: -1	 wrong guess
x: 0.141989	 y: 0.816493	 guess: 1	 wrong guess
x: -0.401487	 y: -0.276424	 guess: -1	 correct guess
x: 0.681859	 y: -0.752903	 guess: -1	 wrong guess
x: 0.300118	 y: 0.119549	 guess: -1	 wrong guess
x: -0.667658	 y: 0.743399	 guess: 1	 wrong guess
x: -0.987393	 y: 0.145439	 guess: 1	 wrong guess
x: 0.813963	 y: 0.403573	 guess: -1	 wrong guess
x: 0.0427852	 y: 0.394827	 guess: 1	 wrong guess
x: 0.165442	 y: 0.334286	 guess: 1	 wrong guess
x: -0.300592	 y: 0.133244	 guess: 1	 wrong guess
x: -0.531013	 y: -0.855228	 guess: -1	 wrong guess
x: 0.987963	 y: -0.674597	 guess: -1	 wrong guess
x: -0.109303	 y: 0.96416	 guess: 1	 wrong guess
x: -0.0264147	 y: 0.669931	 guess: 1	 wrong guess
x: 0.161434	 y: 0.584626	 guess: 1	 wrong guess
x: 0.742574	 y: -0.240163	 guess: -1	 wrong guess
x: -0.887647	 y: 0.852848	 guess: 1	 wrong guess
x: 0.147626	 y: -0.313274	 guess: -1	 wrong guess
x: -0.490757	 y: 0.632375	 guess: 1	 wrong guess
x: 0.139282	 y: 0.373041	 guess: 1	 wrong guess
x: -0.312605	 y: 0.974755	 guess: 1	 wrong guess
x: -0.673646	 y: -0.987643	 guess: -1	 wrong guess
x: 0.411822	 y: -0.887293	 guess: -1	 wrong guess
x: -0.545641	 y: 0.363546	 guess: 1	 wrong guess
x: 0.674794	 y: -0.578869	 guess: -1	 wrong guess
x: 0.14533	 y: 0.783103	 guess: 1	 wrong guess
x: 0.0587779	 y: -0.0633458	 guess: -1	 wrong guess
x: 0.13733	 y: 0.735486	 guess: 1	 wrong guess
x: 0.694414	 y: -0.803053	 guess: -1	 wrong guess
x: 0.950029	 y: -0.679833	 guess: -1	 wrong guess
x: 0.696921	 y: -0.457501	 guess: -1	 wrong guess
x: 0.432115	 y: 0.72412	 guess: 1	 wrong guess
x: 0.2897	 y: 0.386249	 guess: 1	 wrong guess
x: 0.770825	 y: -0.689663	 guess: -1	 wrong guess
x: -0.888686	 y: 0.78177	 guess: 1	 wrong guess
x: 0.700341	 y: 0.0749584	 guess: -1	 wrong guess
x: 0.0774806	 y: -0.833211	 guess: -1	 wrong guess
x: -0.536294	 y: -0.309274	 guess: 1	 wrong guess
x: 0.97012	 y: -0.761259	 guess: -1	 wrong guess
x: 0.983483	 y: -0.731493	 guess: -1	 wrong guess
x: 0.617308	 y: -0.911193	 guess: -1	 wrong guess
x: -0.0515038	 y: -0.805096	 guess: -1	 wrong guess
x: 0.701308	 y: -0.77525	 guess: -1	 wrong guess
x: 0.287037	 y: -0.711665	 guess: -1	 wrong guess
x: -0.233682	 y: 0.476673	 guess: 1	 wrong guess
x: -0.749652	 y: -0.892364	 guess: -1	 wrong guess
x: 0.811255	 y: 0.194772	 guess: -1	 wrong guess
x: 0.857544	 y: -0.625093	 guess: -1	 wrong guess
x: -0.799812	 y: 0.0689603	 guess: 1	 wrong guess
x: -0.0884238	 y: 0.836107	 guess: 1	 wrong guess
x: -0.535924	 y: 0.575653	 guess: 1	 wrong guess
x: 0.365266	 y: 0.872221	 guess: 1	 wrong guess
x: 0.304348	 y: -0.0212285	 guess: -1	 wrong guess
x: 0.581657	 y: -0.215285	 guess: -1	 wrong guess
x: 0.694923	 y: 0.340355	 guess: -1	 wrong guess
x: -0.560832	 y: 0.188314	 guess: 1	 wrong guess
x: 0.524364	 y: -0.527579	 guess: -1	 wrong guess
x: -0.360974	 y: -0.649352	 guess: -1	 wrong guess
x: 0.970795	 y: 0.550911	 guess: -1	 wrong guess
x: 0.793381	 y: -0.540568	 guess: -1	 wrong guess
x: 0.674435	 y: -0.677257	 guess: -1	 wrong guess
x: 0.134867	 y: 0.399378	 guess: 1	 wrong guess
x: -0.699589	 y: -0.541716	 guess: -1	 correct guess
x: -0.103958	 y: 0.703791	 guess: 1	 wrong guess
x: 0.259068	 y: 0.729445	 guess: 1	 wrong guess
x: -0.336223	 y: -0.267911	 guess: -1	 correct guess
x: -0.844267	 y: 0.925138	 guess: 1	 wrong guess
x: -0.0211546	 y: 0.256356	 guess: 1	 wrong guess
x: -0.554243	 y: -0.269606	 guess: 1	 wrong guess
x: 0.569178	 y: 0.51801	 guess: 1	 correct guess
x: 0.182499	 y: 0.613584	 guess: 1	 wrong guess
x: -0.142576	 y: -0.652316	 guess: -1	 wrong guess
x: -0.539852	 y: -0.708714	 guess: -1	 wrong guess
x: 0.865845	 y: 0.105194	 guess: -1	 wrong guess
x: -0.457715	 y: 0.12596	 guess: 1	 wrong guess
x: -0.335869	 y: 0.19894	 guess: 1	 wrong guess
x: -0.513113	 y: -0.114601	 guess: 1	 wrong guess
x: -0.859175	 y: 0.0202711	 guess: 1	 wrong guess
x: -0.669613	 y: 0.260152	 guess: 1	 wrong guess
x: 0.220348	 y: 0.162368	 guess: 1	 correct guess
x: 0.403058	 y: 0.728635	 guess: 1	 wrong guess
x: -0.0348321	 y: 0.818467	 guess: 1	 wrong guess
x: 0.277861	 y: -0.117719	 guess: -1	 wrong guess
x: -0.115176	 y: -0.935956	 guess: -1	 wrong guess
x: 0.584451	 y: -0.152135	 guess: -1	 wrong guess
x: 0.152147	 y: -0.209099	 guess: -1	 wrong guess
x: 0.268021	 y: -0.803882	 guess: -1	 wrong guess
x: -0.899682	 y: -0.0249694	 guess: 1	 wrong guess
x: 0.870375	 y: 0.884713	 guess: 1	 wrong guess
x: -0.148671	 y: 0.491421	 guess: 1	 wrong guess
x: -0.720188	 y: -0.203084	 guess: 1	 wrong guess
x: 0.35528	 y: 0.0878659	 guess: -1	 wrong guess
x: 0.0015378	 y: 0.109713	 guess: 1	 wrong guess
x: -0.848	 y: -0.474557	 guess: 1	 wrong guess
x: 0.350433	 y: 0.414103	 guess: 1	 wrong guess
x: 0.055954	 y: -0.373612	 guess: -1	 wrong guess
x: 0.541412	 y: 0.0634924	 guess: -1	 wrong guess
x: 0.146796	 y: -0.941268	 guess: -1	 wrong guess
x: 0.407917	 y: 0.492586	 guess: 1	 wrong guess
x: -0.201467	 y: -0.0341979	 guess: 1	 wrong guess
x: -0.721886	 y: 0.180491	 guess: 1	 wrong guess
x: -0.982355	 y: 0.875993	 guess: 1	 wrong guess
x: 0.24394	 y: 0.565065	 guess: 1	 wrong guess
x: -0.326653	 y: -0.705482	 guess: -1	 wrong guess
x: 0.341706	 y: 0.266231	 guess: 1	 correct guess
x: 0.928739	 y: 0.617914	 guess: 1	 correct guess
x: 0.259284	 y: 0.182858	 guess: 1	 correct guess
x: 0.883934	 y: -0.988154	 guess: -1	 wrong guess
x: 0.191573	 y: 0.364439	 guess: 1	 wrong guess
x: 0.170955	 y: -0.51733	 guess: -1	 wrong guess
x: -0.223999	 y: 0.174129	 guess: 1	 wrong guess
x: -0.231359	 y: 0.885152	 guess: 1	 wrong guess
x: 0.569974	 y: 0.892989	 guess: 1	 wrong guess
x: 0.836489	 y: -0.217044	 guess: -1	 wrong guess
x: -0.853466	 y: -0.832949	 guess: -1	 correct guess
x: 0.466658	 y: -0.495888	 guess: -1	 wrong guess
x: -0.488064	 y: 0.849534	 guess: 1	 wrong guess
x: 0.689454	 y: -0.151769	 guess: -1	 wrong guess
x: -0.607997	 y: -0.935013	 guess: -1	 wrong guess
x: -0.251127	 y: 0.682023	 guess: 1	 wrong guess
x: 0.42333	 y: 0.93603	 guess: 1	 wrong guess
x: -0.261566	 y: -0.603283	 guess: -1	 wrong guess
x: -0.590958	 y: 0.553124	 guess: 1	 wrong guess
x: 0.523466	 y: 0.0699952	 guess: -1	 wrong guess
x: 0.988035	 y: -0.992282	 guess: -1	 wrong guess
x: 0.528849	 y: -0.370404	 guess: -1	 wrong guess
x: 0.833646	 y: -0.950346	 guess: -1	 wrong guess
x: -0.0727485	 y: -0.130199	 guess: -1	 wrong guess
x: -0.440931	 y: -0.78263	 guess: -1	 wrong guess
x: 0.899139	 y: -0.632876	 guess: -1	 wrong guess
x: 0.865671	 y: -0.152754	 guess: -1	 wrong guess
x: -0.0456561	 y: 0.539061	 guess: 1	 wrong guess
x: -0.983994	 y: -0.439986	 guess: 1	 wrong guess
x: -0.429494	 y: 0.533373	 guess: 1	 wrong guess
x: 0.82404	 y: 0.531729	 guess: 1	 correct guess
x: 0.629452	 y: -0.272304	 guess: -1	 wrong guess
x: 0.672242	 y: 0.0834587	 guess: -1	 wrong guess
x: -0.905448	 y: -0.451257	 guess: 1	 wrong guess
x: -0.413325	 y: -0.44283	 guess: -1	 wrong guess
x: 0.134186	 y: -0.728211	 guess: -1	 wrong guess
x: -0.769296	 y: 0.229597	 guess: 1	 wrong guess
x: -0.512739	 y: 0.793854	 guess: 1	 wrong guess
x: 0.999386	 y: 0.260768	 guess: -1	 wrong guess
x: 0.20436	 y: -0.597859	 guess: -1	 wrong guess
x: -0.81555	 y: -0.221167	 guess: 1	 wrong guess
x: -0.761369	 y: -0.810675	 guess: -1	 wrong guess
x: -0.915978	 y: 0.243392	 guess: 1	 wrong guess
x: -0.93912	 y: 0.464708	 guess: 1	 wrong guess
x: -0.837413	 y: -0.67884	 guess: -1	 correct guess
x: -0.232781	 y: -0.133069	 guess: 1	 wrong guess
x: -0.404523	 y: 0.663898	 guess: 1	 wrong guess
x: 0.770923	 y: -0.458633	 guess: -1	 wrong guess
x: 0.38775	 y: 0.345813	 guess: 1	 correct guess
x: -0.621904	 y: 0.42601	 guess: 1	 wrong guess
x: -0.619436	 y: 0.887493	 guess: 1	 wrong guess
x: 0.419824	 y: 0.345147	 guess: 1	 correct guess
x: 0.0718279	 y: -0.97518	 guess: -1	 wrong guess
x: 0.0584	 y: -0.243633	 guess: -1	 wrong guess
x: 0.317442	 y: 0.0279479	 guess: -1	 wrong guess
x: -0.582532	 y: 0.898192	 guess: 1	 wrong guess
x: 0.573659	 y: -0.796782	 guess: -1	 wrong guess
x: 0.826834	 y: -0.976872	 guess: -1	 wrong guess
x: -0.636006	 y: 0.015448	 guess: 1	 wrong guess
x: 0.621046	 y: 0.845214	 guess: 1	 wrong guess
x: 0.651975	 y: -0.289108	 guess: -1	 wrong guess
x: -0.39634	 y: 0.427966	 guess: 1	 wrong guess
x: -0.858202	 y: 0.641655	 guess: 1	 wrong guess
x: -0.67031	 y: 0.832774	 guess: 1	 wrong guess
x: 0.624642	 y: -0.747174	 guess: -1	 wrong guess
x: -0.706771	 y: 0.756664	 guess: 1	 wrong guess
x: 0.228317	 y: -0.862496	 guess: -1	 wrong guess
x: 0.252288	 y: -0.591894	 guess: -1	 wrong guess
x: 0.631703	 y: 0.690788	 guess: 1	 wrong guess
x: -0.99814	 y: -0.450082	 guess: 1	 wrong guess
x: 0.301244	 y: 0.715385	 guess: 1	 wrong guess
x: -0.789531	 y: -0.30766	 guess: 1	 wrong guess
x: -0.9744	 y: -0.817672	 guess: -1	 correct guess
x: -0.556568	 y: -0.41968	 guess: -1	 correct guess
x: -0.865716	 y: 0.917668	 guess: 1	 wrong guess
x: -0.875054	 y: 0.0984949	 guess: 1	 wrong guess
x: 0.546555	 y: -0.366433	 guess: -1	 wrong guess
x: -0.00390238	 y: -0.870999	 guess: -1	 wrong guess
x: -0.580039	 y: -0.241141	 guess: 1	 wrong guess
x: -0.350771	 y: -0.516915	 guess: -1	 wrong guess
x: 0.22562	 y: 0.777149	 guess: 1	 wrong guess
x: -0.710151	 y: 0.0364728	 guess: 1	 wrong guess
x: 0.239858	 y: 0.376774	 guess: 1	 wrong guess
x: -0.690134	 y: 0.360279	 guess: 1	 wrong guess
